Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_112309_frame0114.jpg_bird_185554_frame0115.jp,g,0.7915619262216426,0.98495024,280,268,597,225,552,349
bat_112309_frame0114.jpg_bird_185554_frame0217.jp,g,0.9274828783012176,0.9855544,276,268,597,225,142,47
bat_112309_frame0114.jpg_bird_185554_frame0224.jp,g,0.869416424432875,0.9850942,280,180,597,225,115,87
bat_112309_frame0114.jpg_bird_185554_frame0226.jp,g,0.9436802849480811,0.98663497,104,108,597,225,107,83
bat_112309_frame0114.jpg_bird_194086_frame0010.jp,g,0.7278851302282462,0.98557806,20,28,597,225,509,81
bat_112309_frame0114.jpg_bird_194086_frame0014.jp,g,0.7250815989192492,0.9779989,20,244,597,225,503,82
bat_112309_frame0114.jpg_bird_239352_frame0027.jp,g,0.7321278499723093,0.985801,104,0,597,225,86,200
bat_112309_frame0114.jpg_bird_239352_frame0045.jp,g,0.7259811990346446,0.98203385,196,88,597,225,44,133
bat_112309_frame0114.jpg_bird_239352_frame0052.jp,g,0.7572999403318552,0.9775204,92,0,597,225,113,95
bat_112309_frame0114.jpg_bird_239352_frame0057.jp,g,0.7168514336828012,0.97757006,24,0,597,225,105,74
bat_112309_frame0114.jpg_bird_288970_frame0169.jp,g,0.7260538738382356,0.9807089,104,268,597,225,556,223
bat_112309_frame0114.jpg_bird_288970_frame0175.jp,g,0.697330913536877,0.98479396,104,108,597,225,552,207
bat_112309_frame0114.jpg_bird_344369_frame0116.jp,g,0.7038198688702625,0.9868571,196,0,597,225,583,294
bat_112309_frame0114.jpg_bird_344369_frame0136.jp,g,0.7108380930668756,0.98291844,196,164,597,225,533,283
bat_112309_frame0114.jpg_bird_418385_frame0313.jp,g,0.7221417456569316,0.98752004,20,0,597,225,80,164
bat_112309_frame0114.jpg_bird_418385_frame0341.jp,g,0.7274861957149388,0.984532,196,336,597,225,31,136
bat_112309_frame0114.jpg_bird_438007_frame0200.jp,g,0.7688497057307679,0.98354644,20,192,597,225,537,147
bat_112309_frame0114.jpg_bird_438007_frame0223.jp,g,0.7699893134182555,0.9825771,24,192,597,225,576,135
bat_112309_frame0114.jpg_bird_457977_frame0129.jp,g,0.7004088776184686,0.97704333,20,48,597,225,84,148
bat_112309_frame0114.jpg_bird_457977_frame0135.jp,g,0.6882443724139606,0.98630035,20,28,597,225,75,121
bat_112309_frame0114.jpg_bird_457977_frame0153.jp,g,0.6781585705915187,0.9805299,280,0,597,225,71,179
bat_112309_frame0114.jpg_bird_457977_frame0155.jp,g,0.6984843618534141,0.9841448,20,0,597,225,67,171
bat_112309_frame0114.jpg_bird_457977_frame0172.jp,g,0.7257203890424885,0.97657454,68,228,597,225,111,97
bat_112309_frame0114.jpg_bird_457977_frame0178.jp,g,0.6551490553754862,0.9789842,196,0,597,225,104,69
bat_112309_frame0114.jpg_bird_536808_frame0167.jp,g,0.8399510743552525,0.98324287,12,204,597,225,560,49
bat_112309_frame0114.jpg_bird_536808_frame0218.jp,g,0.9933192402024463,0.98620707,252,244,597,225,478,54
bat_112309_frame0114.jpg_bird_544506_frame0139.jp,g,0.7138001679492133,0.9834514,292,336,597,225,332,44
bat_112309_frame0114.jpg_bird_544506_frame0141.jp,g,0.7141699733459371,0.9854953,292,140,597,225,330,43
bat_112309_frame0114.jpg_bird_660746_frame0057.jp,g,0.6658127176974844,0.9739031,108,268,597,225,558,358
bat_112309_frame0114.jpg_bird_660746_frame0101.jp,g,0.6309819030602168,0.9796062,104,100,597,225,545,297
bat_112309_frame0114.jpg_bird_714613_frame0156.jp,g,0.6940105378338165,0.986224,196,0,597,225,511,242
bat_112309_frame0114.jpg_bird_714613_frame0161.jp,g,0.7706216729482644,0.9793192,280,0,597,225,513,214
bat_112309_frame0114.jpg_bird_714613_frame0180.jp,g,0.7003636420826893,0.9867414,108,0,597,225,488,194
bat_112309_frame0114.jpg_bird_714613_frame0216.jp,g,0.6774101138369066,0.98035294,108,324,597,225,452,58
bat_112309_frame0114.jpg_bird_775752_frame0141.jp,g,0.7069917606531764,0.98304194,196,24,597,225,108,131
